"","PDX22","PDX43","PDX59","G83","PDX10","HK281"
"ENSG00000252969.1",0,0,0,0,0,0
"ENSG00000048707.15",2304.01,2209.37,4683.44,4178.22,2728.06,4436.65
"ENSG00000239149.1",10.23,6.15,5.92,0,8.02,4.1
"ENSG00000229484.1",0,0,0,0,1.78,0
"ENSG00000162496.9",681.38,149.75,1320.92,255.67,439.09,312.66
"ENSG00000221340.1",2.05,0,0.99,0,0,0
"ENSG00000276830.1",0,0,0,0,0,0
"ENSG00000272482.1",4.09,2.05,21.72,0.95,0.89,1.03
"ENSG00000204518.3",0,0,0,0,0,0
"ENSG00000226166.2",0,0,0,0,0,0
"ENSG00000188984.12",0,0,0,0,0,0
"ENSG00000157330.10",0,0,1.97,0,0,0
